model,cv_best_f1_macro,test_accuracy,test_macro_f1,test_weighted_f1,test_balanced_accuracy,test_mcc,best_params,fit_time_s
XGBoost,0.9199383974354107,0.9654382677493233,0.9619050289792327,0.9652803373819849,0.9610317893684203,0.96070869758597,"{'colsample_bytree': 0.8, 'learning_rate': 0.1, 'max_depth': 6, 'n_estimators': 400, 'subsample': 0.8}",10797.926821947098
SVM,0.9124174125847929,0.9618988132417239,0.9582041558889902,0.9618555450119072,0.9560405131159925,0.9566744154140565,"{'C': 10.0, 'gamma': 'auto', 'kernel': 'rbf'}",7275.395143032074
RandomForest,0.8565886703788321,0.924422236102436,0.9129421855052783,0.9228995954034466,0.9086106825512337,0.9141450776792925,"{'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 400}",1780.578319311142
